39.514µs
3.983µs
2.952µs
2.03µs
2.391µs
3.464µs
612.934µs
345.853µs
5.22µs
4.443µs
9.453µs
7.366µs
27.813µs
272.541µs
226.294µs
6.939µs
7.002µs
184.711µs
151.374µs
199.753µs
164.37µs
9.061µs
189.628µs
5.662µs
203.723µs
20.191µs
192.708µs
177.554µs
174.682µs
205.805µs
175.121µs
6.774µs
6.762µs
2.717µs
5.557µs
19.876µs
3.156µs
6.688µs
193.367µs
3.28µs
7.475µs
4.672µs
43.125µs
31.19µs
6.753µs
169.004µs
103.185µs
187.678µs
142.701µs
6.915µs
151.739µs
6.577µs
199.102µs
111.953µs
181.079µs
182.893µs
185.297µs
37.165µs
39.505µs
38.171µs
39.376µs
33.219µs
7.3µs
208.976µs
6.388µs
181.801µs
135.846µs
212.331µs
202.183µs
200.286µs
7.264µs
179.351µs
138.902µs
172.509µs
189.757µs
190.846µs
186.85µs
2.83µs
8.912µs
3.265µs
7.044µs
16.804µs
195.471µs
7.175µs
18.508µs
183.874µs
180.201µs
3.573µs
2.288µs
7.637µs
221.863µs
176.322µs
169.671µs
6.749µs
194.972µs
116.094µs
6.587µs
199.235µs
55.129µs
40.111µs
49.867µs
43.182µs
13.42µs
197.376µs
4.919µs
186.538µs
3.026µs
197.617µs
156.61µs
176.325µs
184.522µs
136.458µs
162.872µs
2.276µs
7.234µs
190.985µs
208.938µs
8.302µs
222.715µs
167.087µs
5.657µs
4.458µs
296.592µs
6.366µs
61.741µs
50.865µs
182.4µs
194.625µs
9.808µs
176.924µs
186.695µs
20.095µs
3.378µs
20.287µs
3.012µs
168.605µs
3.534µs
7.372µs
3.078µs
3.218µs
202.799µs
3.594µs
3.228µs
6.724µs
2.567µs
187.018µs
6.281µs
186.815µs
6.764µs
174.136µs
203.171µs
163.861µs
5.428µs
200.079µs
6.636µs
38.155µs
2.918µs
37.108µs
209.833µs
180.481µs
208.212µs
201.506µs
19.3µs
194.018µs
166.028µs
163.864µs
164.966µs
186.19µs
186.661µs
117.021µs
178.435µs
173.104µs
200.183µs
104.33µs
187.692µs
97.172µs
6.347µs
183.627µs
187.839µs
2.894µs
3.66µs
21.666µs
2.933µs
8.436µs
2.913µs
230.766µs
7.576µs
3.114µs
1.903µs
197.133µs
3.312µs
6.403µs
173.906µs
5.843µs
3.421µs
2.392µs
7.003µs
5.826µs
2.874µs
218.138µs
91.845µs
190.942µs
195.71µs
147.114µs
175.621µs
112.144µs
146.186µs
171.745µs
162.306µs
129.648µs
147.8µs
194.233µs
183.212µs
7.899µs
7.614µs
213.469µs
107.3µs
156.31µs
191.691µs
180.996µs
165.521µs
6.692µs
192.332µs
2.76µs
4.805µs
191.124µs
7.589µs
3.42µs
16.53µs
2.933µs
3.669µs
169.246µs
6.616µs
3.091µs
3.051µs
163.282µs
163.6µs
170.536µs
20.272µs
2.642µs
179.816µs
128.395µs
7.048µs
254.428µs
